price,accommodates,bedrooms,beds,latitude,longitude,host_is_superhost,host_identity_verified,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label
175.0,4,1.0,2.0,37.78887,-122.41095,1.0,1.0,1.0,0,3,10,0,0,0,0,2.0,175.0,175.0,False,True,False,51,0.0708115709120128,0.06046605062274,29
175.0,4,1.0,2.0,37.80527,-122.42149,1.0,1.0,0.99,0,2,1125,0,0,0,0,2.0,175.0,175.0,True,False,False,20,0.0095419847328244,0.008738449176376,108
193.0,10,3.0,5.0,32.76438,-117.052,0.0,1.0,1.0,0,2,1125,0,21,45,320,1.6666666666666667,64.33333333333333,96.5,True,False,False,14,0.2494977902772197,0.0027621534752912,105
55.0,4,3.0,3.0,37.71704,-122.47072,0.0,1.0,1.0,0,30,365,30,44,44,299,1.0,18.333333333333332,55.0,False,True,False,37,0.0874849337083165,0.0056247488951386,86
141.0,3,1.0,1.0,32.7460578,-117.2468945,0.0,1.0,1.0,1,2,29,19,41,59,327,1.0,141.0,141.0,True,False,False,18,0.2372940940136601,0.0295299316994777,85
171.0,4,1.0,1.0,32.726731,-117.168937,1.0,1.0,1.0,1,2,28,9,36,62,70,1.0,171.0,171.0,True,False,False,18,0.2372940940136601,0.0111992768179991,61
195.0,6,3.0,4.0,32.7514904,-117.2490749,1.0,1.0,1.0,1,2,28,13,37,62,337,1.3333333333333333,65.0,195.0,True,False,False,14,0.2494977902772197,0.0295299316994777,85
175.0,12,4.0,2.0,32.77255,-117.05757,0.0,1.0,1.0,1,2,1125,0,0,0,0,0.5,43.75,87.5,True,False,False,14,0.2494977902772197,0.0047207713941341,20
102.0,2,1.0,1.0,37.78915,-122.40671,0.0,1.0,1.0,1,1,28,30,60,90,212,1.0,102.0,136.75,False,True,False,38,0.0029128163921253,0.0132583366813981,41
290.0,6,2.0,4.0,32.7088686,-117.1577708,0.0,1.0,0.5,0,31,365,28,58,88,363,2.0,145.0,116.0,True,False,False,18,0.2372940940136601,0.0264664523905182,31
231.0,6,1.0,3.0,32.77362,-117.25145,0.0,1.0,1.0,1,1,1125,22,52,82,357,3.0,231.0,231.0,True,False,False,14,0.2494977902772197,0.0850743270389714,70
145.0,4,2.0,3.0,32.80053,-117.22999,1.0,1.0,1.0,0,31,365,29,59,89,213,1.5,72.5,72.5,True,False,False,18,0.2372940940136601,0.049768983527521,92
117.0,4,1.0,4.0,32.75013860000001,-117.2497664,0.0,1.0,0.98,0,2,365,8,22,49,134,4.0,117.0,117.0,True,False,False,18,0.2372940940136601,0.0295299316994777,85
54.0,2,1.0,0.0,32.56791,-117.00983,1.0,1.0,1.0,0,31,365,0,0,0,132,0.0,54.0,54.0,False,True,False,37,0.0874849337083165,0.0850743270389714,70
158.0,4,2.0,2.0,32.74729919,-117.1289978,1.0,1.0,1.0,0,3,1125,0,0,0,13,1.0,79.0,158.0,True,False,False,18,0.2372940940136601,0.0276717557251908,82
160.0,6,2.0,3.0,32.7181032,-117.1423304,0.0,0.0,0.0,0,31,365,29,59,89,269,1.5,80.0,80.0,True,False,False,18,0.2372940940136601,0.0120530333467255,3
378.0,12,6.0,7.0,32.78304250000001,-117.2529949,0.0,0.0,0.97,0,3,1000,0,9,35,145,1.1666666666666667,63.0,63.0,True,False,False,14,0.2494977902772197,0.0850743270389714,70
175.0,2,1.0,1.0,37.790324,-122.405388,0.0,1.0,1.0,1,1,365,24,48,74,85,1.0,175.0,175.0,False,True,False,51,0.0708115709120128,0.0132583366813981,41
149.0,4,2.0,2.0,37.74332,-122.42707,1.0,1.0,1.0,0,3,1125,4,15,29,185,1.0,74.5,149.0,True,False,False,12,0.0419847328244274,0.0116512655685014,77
140.0,2,1.0,2.0,32.70968,-117.16045,0.0,0.0,1.0,0,31,365,24,54,84,264,2.0,140.0,140.0,True,False,False,10,0.1206307754118119,0.0154680594616311,42
299.0,10,4.0,6.0,37.7417911,-122.4233063,0.0,1.0,1.0,0,30,365,28,58,88,363,1.5,74.75,149.5,True,False,False,18,0.2372940940136601,0.013057452792286,9
175.0,4,1.0,2.0,37.7867,-122.41084,0.0,1.0,1.0,0,1,1125,0,0,0,0,2.0,175.0,175.0,False,False,False,51,0.0708115709120128,0.06046605062274,29
190.0,4,1.0,1.0,32.73808680507018,-117.15985981754194,0.0,1.0,1.0,0,31,365,0,0,0,267,1.0,190.0,190.0,True,False,False,10,0.1206307754118119,0.0271193250301325,66
122.0,3,2.0,2.0,32.70993,-117.15441,0.0,1.0,0.2,0,31,1125,28,58,88,88,1.0,61.0,61.0,True,False,False,10,0.1206307754118119,0.0264664523905182,31
166.0,2,1.0,1.0,32.73762,-117.25214,1.0,1.0,1.0,1,1,365,16,46,76,350,1.0,166.0,166.0,True,False,False,14,0.2494977902772197,0.0295299316994777,85
128.0,5,2.0,2.0,32.7951,-117.23008,0.0,1.0,1.0,1,31,365,30,60,90,365,1.0,64.0,64.0,True,False,False,10,0.1206307754118119,0.0850743270389714,70
175.0,4,1.0,2.0,32.737602375972614,-117.16091789466978,1.0,1.0,0.92,0,2,6,4,4,4,4,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.0271193250301325,66
274.0,4,1.0,2.0,32.73343,-117.17234,1.0,1.0,1.0,1,1,28,30,60,90,357,2.0,274.0,137.0,True,False,False,10,0.1206307754118119,0.0271193250301325,66
175.0,2,1.0,2.0,37.8076,-122.41317,1.0,1.0,1.0,1,1,365,10,31,56,67,2.0,175.0,175.0,False,True,False,51,0.0708115709120128,0.0116010445962233,79
