price,accommodates,bedrooms,beds,latitude,longitude,city,host_is_superhost,host_identity_verified,host_response_time,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label,value_category
157.0,3,1.0,2.0,37.77028,-122.43317,San Francisco,1.0,1.0,within an hour,1.0,0,2,30,5,9,17,224,2.0,157.0,157.0,True,False,False,20,0.0095419847328244,0.0242567296102852,135,Fair_Value
250.0,4,2.0,2.0,37.74474,-122.42089,San Francisco,0.0,1.0,within a day,0.7,0,30,90,22,52,82,357,1.0,125.0,125.0,True,False,False,18,0.2372940940136601,0.013057452792286,9,Poor_Value
67.0,1,1.0,1.0,37.73077,-122.44827,San Francisco,1.0,1.0,within an hour,1.0,0,4,60,0,12,42,42,1.0,67.0,33.5,False,True,False,37,0.0874849337083165,0.0067798312575331,89,Excellent_Value
56.0,1,3.0,1.0,37.76555,-122.45213,San Francisco,1.0,1.0,within a few hours,1.0,0,32,90,27,57,87,362,0.3333333333333333,18.666666666666668,14.0,False,True,False,40,0.0393230212936922,0.0124045801526717,48,Excellent_Value
527.0,2,1.0,1.0,37.77377,-122.43614,San Francisco,0.0,1.0,within a few hours,1.0,0,9,91,1,22,52,327,1.0,527.0,351.3333333333333,True,False,False,10,0.1206307754118119,0.0242567296102852,135,Poor_Value
108.0,2,1.0,1.0,37.7175,-122.39698,San Francisco,1.0,1.0,within an hour,1.0,0,1,90,30,60,88,363,1.0,108.0,72.0,False,True,False,24,0.0010546404178384,0.0074829248694254,8,Excellent_Value
100.0,2,0.0,1.0,37.79249,-122.41499,San Francisco,0.0,1.0,within a few hours,1.0,0,30,180,0,0,0,275,1.0,113.0,100.0,True,False,False,18,0.2372940940136601,0.0180795500200883,76,Excellent_Value
75.0,2,1.0,1.0,37.7914,-122.41149,San Francisco,1.0,1.0,within an hour,1.0,0,30,180,0,0,0,74,1.0,75.0,75.0,False,True,False,30,0.0137103254319003,0.0180795500200883,76,Excellent_Value
175.0,1,1.0,2.0,37.76901,-122.44701,San Francisco,1.0,1.0,within a few hours,1.0,0,32,90,30,60,90,365,2.0,175.0,58.333333333333336,False,True,False,40,0.0393230212936922,0.0124045801526717,48,Poor_Value
93.0,1,1.0,2.0,37.76932,-122.44723,San Francisco,1.0,1.0,within a few hours,1.0,0,32,90,30,60,90,365,2.0,93.0,31.0,False,True,False,40,0.0393230212936922,0.0124045801526717,48,Excellent_Value
99.0,2,1.0,1.0,37.76237,-122.42992,San Francisco,0.0,1.0,within an hour,1.0,0,3,5,6,7,28,28,1.0,99.0,66.0,False,True,False,40,0.0393230212936922,0.0138107673764564,14,Excellent_Value
99.0,3,0.0,2.0,37.74858,-122.42865,San Francisco,0.0,1.0,within a day,1.0,0,30,365,0,19,25,230,1.0,113.0,99.0,True,False,False,18,0.2372940940136601,0.0116512655685014,77,Excellent_Value
117.0,2,1.0,1.0,37.77247,-122.43301,San Francisco,1.0,1.0,within a day,1.0,0,2,31,6,16,34,34,1.0,117.0,117.0,False,True,False,37,0.0874849337083165,0.0242567296102852,135,Excellent_Value
250.0,2,1.0,1.0,37.7962,-122.41562,San Francisco,0.0,1.0,within a few hours,1.0,1,30,30,28,58,88,363,1.0,250.0,250.0,True,False,False,16,0.0068300522298111,0.0180795500200883,76,Poor_Value
100.0,3,2.0,3.0,37.73807,-122.47554,San Francisco,0.0,1.0,a few days or more,0.0,0,120,365,30,60,90,365,1.5,50.0,100.0,True,False,False,14,0.2494977902772197,0.006578947368421,97,Excellent_Value
178.0,2,1.0,1.0,37.75675582885742,-122.4001693725586,San Francisco,1.0,1.0,within an hour,1.0,0,2,21,7,35,65,245,1.0,178.0,178.0,False,True,False,30,0.0137103254319003,0.0068802732020891,99,Fair_Value
230.0,4,1.0,2.0,37.78897,-122.43376,San Francisco,1.0,1.0,within an hour,0.9,0,5,31,11,19,32,186,2.0,230.0,230.0,True,False,False,12,0.0419847328244274,0.0075331458417034,93,Poor_Value
161.0,2,1.0,2.0,37.74159,-122.43159,San Francisco,1.0,1.0,within an hour,1.0,0,5,45,13,25,49,317,2.0,161.0,161.0,False,True,False,37,0.0874849337083165,0.002360385697067,44,Fair_Value
200.0,4,1.0,2.0,37.77885,-122.50534,San Francisco,1.0,1.0,within a few hours,1.0,0,2,30,0,13,26,280,2.0,200.0,200.0,True,False,False,18,0.2372940940136601,0.0093411008437123,90,Fair_Value
162.0,2,2.0,3.0,37.74038,-122.41327,San Francisco,0.0,0.0,within an hour,1.0,0,30,30,0,0,29,273,1.5,81.0,162.0,True,False,False,18,0.2372940940136601,0.013057452792286,9,Fair_Value
360.0,2,1.0,1.0,37.76451,-122.39643,San Francisco,1.0,0.0,within an hour,1.0,0,1,14,15,28,53,324,1.0,360.0,360.0,True,False,False,14,0.2494977902772197,0.0068802732020891,99,Poor_Value
175.0,1,1.0,2.0,37.7493,-122.41965,San Francisco,0.0,1.0,within an hour,1.0,0,3,5,0,0,0,0,2.0,175.0,175.0,False,True,False,40,0.0393230212936922,0.0269184411410204,69,Fair_Value
89.0,1,0.0,1.0,37.741,-122.42018,San Francisco,0.0,1.0,within an hour,1.0,0,90,205,0,0,19,294,1.0,113.0,89.0,True,False,False,18,0.2372940940136601,0.013057452792286,9,Excellent_Value
161.0,2,1.0,1.0,37.7617,-122.41887,San Francisco,1.0,1.0,within an hour,0.92,0,30,365,5,22,23,188,1.0,161.0,161.0,True,False,False,18,0.2372940940136601,0.0269184411410204,69,Fair_Value
131.0,3,1.0,2.0,37.76123,-122.43326,San Francisco,0.0,1.0,within a day,0.9,0,4,29,0,9,39,39,2.0,131.0,131.0,True,False,False,14,0.2494977902772197,0.0138107673764564,14,Excellent_Value
175.0,2,1.0,2.0,37.7369,-122.43451,San Francisco,0.0,1.0,within a day,0.5,0,30,90,0,0,14,289,2.0,175.0,175.0,True,False,False,11,0.0118521494576135,0.002360385697067,44,Fair_Value
179.0,2,1.0,2.0,37.78887,-122.41306,San Francisco,1.0,1.0,within a few hours,1.0,1,30,1125,0,0,0,195,2.0,179.0,179.0,True,False,False,10,0.1206307754118119,0.06046605062274,29,Fair_Value
74.0,1,1.0,1.0,37.76156,-122.42943,San Francisco,0.0,1.0,within an hour,0.83,0,30,180,0,0,30,305,1.0,74.0,74.0,False,True,False,40,0.0393230212936922,0.0138107673764564,14,Excellent_Value
175.0,2,1.0,2.0,37.76963,-122.4321,San Francisco,0.0,1.0,within an hour,1.0,0,60,90,0,0,0,0,2.0,175.0,175.0,True,False,False,10,0.1206307754118119,0.0242567296102852,135,Fair_Value
175.0,2,1.0,2.0,37.76122,-122.43297,San Francisco,0.0,1.0,within a day,0.9,0,3,30,3,5,12,12,2.0,175.0,175.0,True,False,False,12,0.0419847328244274,0.0138107673764564,14,Fair_Value
