feature,Excellent_coef,Fair_coef,Poor_coef,avg_abs_coef
price,-14.808805068169804,1.5395309358010665,13.269274132368704,9.872536712113192
room_type_Shared room,-1.0090126374256594,0.6065102911966428,0.4025023462290264,0.6726750916171095
price_per_bedroom,-0.5442409753984879,0.25174889836291087,0.2924920770355635,0.3628273169323208
room_type_Entire home/apt,-0.4354712140281181,-0.028368105382492407,0.46383931941061574,0.30922621294040875
longitude,0.40393013537267164,-0.41729646408583904,0.013366328713171857,0.2781976427238942
beds,-0.35365539304389837,0.0006520913829763813,0.3530033016609193,0.23577026202926468
host_is_superhost,0.3480854608471359,-0.013183105219307188,-0.334902355627833,0.23205697389809202
latitude,0.27709482082081943,-0.3370246562576767,0.0599298354368528,0.22468310417178297
property_type_label,-0.31224926095243094,-0.010937856307008118,0.32318711725942956,0.21545807817295617
availability_60,-0.2651267844641937,-0.03561971440912184,0.3007464988733157,0.20049766591554374
bedrooms,-0.23814043925992692,0.09692704493783882,0.14121339432208807,0.15876029283995127
availability_90,0.23788537957329706,-0.03274859408178973,-0.20513678549151457,0.15859025304886712
accommodates,-0.21350997367491775,0.17500784417206536,0.03850212950285452,0.1423399824499459
instant_bookable,-0.18077541774680614,0.0462137057146646,0.13456171203214404,0.12051694516453826
room_type_Private room,0.0835197442954726,-0.14338733234361467,0.05986758804813883,0.09559155489574205
space_efficiency,0.13011106864936894,-0.026475736876190335,-0.10363533177318619,0.08674071243291516
availability_365,-0.09584691193421123,-0.023468498998430558,0.11931541093264295,0.07954360728842824
host_identity_verified,-0.09648785768882212,0.014092511571940518,0.08239534611688717,0.0643252384592166
host_response_rate,-0.08683232678343053,0.02169897267141558,0.06513335411202266,0.057888217855622925
maximum_nights,-0.05131530790093305,-0.025330972785162192,0.07664628068609748,0.05109752045739757
price_per_bathroom,-0.05641924360633038,-0.01986579985946116,0.07628504346578917,0.05085669564386023
neighbourhood_frequency,-0.07156442745447675,-0.0013595058188249664,0.07292393327329798,0.048615955515533237
minimum_nights,0.04422753842691935,-0.02087401451861863,-0.023353523908298437,0.029485025617945474
neighbourhood_label,0.03662263292032074,-0.033541119633330126,-0.0030815132869856906,0.02441508861354552
property_type_frequency,0.009773862934910801,-0.025947796550174984,0.01617393361527754,0.017298531033454443
availability_30,0.0055685040994610325,0.0031570935347543594,-0.008725597634218617,0.005817065089478002
