id,value_category,target_encoded
958,Fair_Value,1
5858,Poor_Value,0
8014,Excellent_Value,2
8142,Excellent_Value,2
8339,Poor_Value,0
10537,Excellent_Value,2
10578,Excellent_Value,2
11490,Excellent_Value,2
12041,Poor_Value,0
12042,Excellent_Value,2
12522,Excellent_Value,2
18231,Excellent_Value,2
18904,Excellent_Value,2
21334,Poor_Value,0
24111,Excellent_Value,2
24463,Fair_Value,1
24723,Poor_Value,0
25094,Fair_Value,1
29557,Fair_Value,1
32414,Fair_Value,1
33578,Poor_Value,0
38935,Fair_Value,1
39418,Excellent_Value,2
40092,Fair_Value,1
41055,Excellent_Value,2
41423,Fair_Value,1
41609,Fair_Value,1
41730,Excellent_Value,2
42060,Fair_Value,1
45299,Fair_Value,1
46060,Excellent_Value,2
47486,Fair_Value,1
47682,Excellent_Value,2
51773,Excellent_Value,2
54518,Fair_Value,1
54634,Excellent_Value,2
55632,Fair_Value,1
55636,Excellent_Value,2
57561,Excellent_Value,2
57676,Fair_Value,1
59831,Poor_Value,0
60101,Poor_Value,0
60365,Poor_Value,0
62519,Fair_Value,1
63247,Poor_Value,0
64165,Fair_Value,1
68239,Poor_Value,0
69410,Excellent_Value,2
70139,Fair_Value,1
70753,Excellent_Value,2
71645,Fair_Value,1
72444,Excellent_Value,2
77175,Excellent_Value,2
78651,Excellent_Value,2
80394,Fair_Value,1
81158,Excellent_Value,2
83257,Excellent_Value,2
91957,Poor_Value,0
96383,Excellent_Value,2
99094,Fair_Value,1
105497,Poor_Value,0
109883,Excellent_Value,2
121065,Excellent_Value,2
124011,Poor_Value,0
130775,Fair_Value,1
132441,Excellent_Value,2
137129,Poor_Value,0
138221,Excellent_Value,2
144978,Excellent_Value,2
147443,Poor_Value,0
148627,Fair_Value,1
148769,Excellent_Value,2
150347,Fair_Value,1
166771,Fair_Value,1
175090,Excellent_Value,2
175102,Excellent_Value,2
183859,Poor_Value,0
193292,Excellent_Value,2
199480,Fair_Value,1
208714,Poor_Value,0
208831,Fair_Value,1
209514,Excellent_Value,2
212783,Excellent_Value,2
213532,Excellent_Value,2
218006,Excellent_Value,2
220418,Excellent_Value,2
232060,Excellent_Value,2
238204,Fair_Value,1
256176,Excellent_Value,2
269463,Poor_Value,0
269756,Fair_Value,1
271647,Fair_Value,1
273530,Fair_Value,1
274334,Excellent_Value,2
279184,Fair_Value,1
308885,Excellent_Value,2
314368,Poor_Value,0
325478,Fair_Value,1
326650,Fair_Value,1
329020,Fair_Value,1
330535,Fair_Value,1
338849,Excellent_Value,2
348714,Fair_Value,1
350479,Excellent_Value,2
353292,Excellent_Value,2
371595,Excellent_Value,2
