id,value_encoded,value_category
4404394,1,Fair_Value
607506975974174232,1,Fair_Value
33773572,2,Excellent_Value
1240063364177006531,0,Poor_Value
1197792386599266676,1,Fair_Value
709928948253988565,1,Fair_Value
996480737945760044,1,Fair_Value
10347570,1,Fair_Value
1131318086803069825,0,Poor_Value
33942501,2,Excellent_Value
1146778936705707762,2,Excellent_Value
34018152,1,Fair_Value
1143043396586397508,0,Poor_Value
17253958,0,Poor_Value
845850572863018811,1,Fair_Value
1000639547889080442,1,Fair_Value
52183797,2,Excellent_Value
1313106796517819747,1,Fair_Value
940683806463722692,1,Fair_Value
1298581987555147697,1,Fair_Value
1090272151040455132,2,Excellent_Value
1460570842968294612,1,Fair_Value
1489897185596821662,1,Fair_Value
1366101447026125414,0,Poor_Value
545500222689108308,1,Fair_Value
744502813155249952,0,Poor_Value
1495186669202420836,1,Fair_Value
582542348458250584,2,Excellent_Value
4896087,1,Fair_Value
1285082146330336574,2,Excellent_Value
40568056,2,Excellent_Value
21801867,1,Fair_Value
24270270,0,Poor_Value
1154708316664747313,1,Fair_Value
649487124408879572,0,Poor_Value
38940717,0,Poor_Value
38884411,2,Excellent_Value
40035260,2,Excellent_Value
1454732143289003681,1,Fair_Value
1336147895270019090,2,Excellent_Value
1345387465767431705,1,Fair_Value
20355320,1,Fair_Value
1060152727824223939,0,Poor_Value
1252514794795549623,0,Poor_Value
21826614,2,Excellent_Value
572404530606683889,0,Poor_Value
23057592,2,Excellent_Value
1467408959510263312,0,Poor_Value
1120373765815660292,0,Poor_Value
1034805,0,Poor_Value
953174592714717487,2,Excellent_Value
1121138122018662295,0,Poor_Value
824677148646010481,0,Poor_Value
1106757623603938572,2,Excellent_Value
3811916,2,Excellent_Value
1049348352184382229,1,Fair_Value
786200670690167105,2,Excellent_Value
36740186,1,Fair_Value
1019317447021748421,0,Poor_Value
5547500,2,Excellent_Value
22196912,2,Excellent_Value
781260299018769366,2,Excellent_Value
1402502,2,Excellent_Value
1386438115246835678,2,Excellent_Value
1444538447707095400,2,Excellent_Value
1444934118366998992,0,Poor_Value
1441730575404339362,2,Excellent_Value
21514950,0,Poor_Value
42477509,0,Poor_Value
723008983138149164,2,Excellent_Value
50643674,1,Fair_Value
11964902,0,Poor_Value
1020464068086058477,0,Poor_Value
1268129371647198434,2,Excellent_Value
565866741003666231,0,Poor_Value
566641223679016306,1,Fair_Value
1379841297340426685,0,Poor_Value
1018787413345902710,0,Poor_Value
1405862838883536871,1,Fair_Value
1223359093117139361,1,Fair_Value
7841744,0,Poor_Value
1298654351167649895,0,Poor_Value
1266809719113301190,0,Poor_Value
1412470025404162177,1,Fair_Value
1177020897036587301,2,Excellent_Value
1114024201563018349,2,Excellent_Value
52073226,0,Poor_Value
523226839994774982,0,Poor_Value
1098003921514265995,2,Excellent_Value
1283717455209210576,0,Poor_Value
1484780565775077870,1,Fair_Value
787815692384370409,0,Poor_Value
6871332,2,Excellent_Value
54113200,2,Excellent_Value
34470646,0,Poor_Value
896421694829949418,0,Poor_Value
729759888501685811,1,Fair_Value
1399157090098983242,1,Fair_Value
27467934,2,Excellent_Value
52569239,2,Excellent_Value
50070597,2,Excellent_Value
1385728741434707565,0,Poor_Value
21357465,1,Fair_Value
38586329,1,Fair_Value
49627164,1,Fair_Value
13639112,2,Excellent_Value
23470327,1,Fair_Value
