host_id,id,value_encoded,value_category
703315834,1461613628376103071,1,Fair_Value
159753287,651675023426904614,1,Fair_Value
20533368,1299505395662874470,2,Poor_Value
501999278,1096163875381797308,0,Excellent_Value
35954821,13752455,1,Fair_Value
46785782,652713843598673766,1,Fair_Value
475557498,1355183574643908838,1,Fair_Value
43999040,1469961377724145104,1,Fair_Value
83625909,16498171,0,Excellent_Value
686316489,1390813609732870043,2,Poor_Value
365141259,1430126170757818987,2,Poor_Value
509465622,866775404303929653,1,Fair_Value
303576643,993595316924731647,0,Excellent_Value
499662709,1363457077435826037,0,Excellent_Value
475557498,1399942667661461522,1,Fair_Value
20632323,24614789,1,Fair_Value
291510892,1361177923911764834,2,Poor_Value
399069771,49634358,1,Fair_Value
456511812,944142970075835426,1,Fair_Value
115024967,1253139748329445586,1,Fair_Value
43449392,13433738,2,Poor_Value
310936946,40312754,1,Fair_Value
54846214,1252514794795549623,1,Fair_Value
407383232,50423875,0,Excellent_Value
434179091,53614630,1,Fair_Value
282462289,25013536,0,Excellent_Value
20446508,1211740448166690760,1,Fair_Value
8873382,50136259,2,Poor_Value
37001336,10088380,1,Fair_Value
22868294,1378364976205253865,2,Poor_Value
4430421,21450077,2,Poor_Value
67179654,1348895379303242098,1,Fair_Value
408623755,50700562,0,Excellent_Value
391585798,48527800,1,Fair_Value
11820504,29964346,0,Excellent_Value
499662709,846642147774256468,0,Excellent_Value
2430503,12956379,2,Poor_Value
43918217,43849384,2,Poor_Value
456697664,954353445669425704,1,Fair_Value
172202422,1273425684670859277,2,Poor_Value
21769361,976760606656345608,1,Fair_Value
23619709,21783569,1,Fair_Value
575651185,1167598460324524071,0,Excellent_Value
3857763,747354,0,Excellent_Value
3029397,1357222496768400238,2,Poor_Value
456697664,955013138816888467,0,Excellent_Value
33068795,602844262932247723,2,Poor_Value
43349223,40423975,0,Excellent_Value
391964118,1381212872692662870,0,Excellent_Value
146078043,607909374151792007,0,Excellent_Value
126644773,1064745906939981801,2,Poor_Value
499662709,847923645448729617,0,Excellent_Value
87206119,1482357850151862780,0,Excellent_Value
107434423,960756534580592062,2,Poor_Value
138194368,937691784806680484,2,Poor_Value
540197949,1303076972335414841,1,Fair_Value
6456352,49467562,2,Poor_Value
558250745,1075527628694943093,1,Fair_Value
79339692,696503088612245611,0,Excellent_Value
480298165,721595518398341803,2,Poor_Value
26818668,615366461937678478,2,Poor_Value
542041520,1016913580030139408,2,Poor_Value
107434423,1035338074137705335,2,Poor_Value
523478008,1162375886701383278,2,Poor_Value
75088156,871236294484375864,2,Poor_Value
587292438,1194540004293893005,0,Excellent_Value
26222430,637096702494989429,2,Poor_Value
15312652,10881329,0,Excellent_Value
64536515,38848660,0,Excellent_Value
10534054,7004802,2,Poor_Value
135855402,31226035,1,Fair_Value
662542808,1302824417357723408,0,Excellent_Value
119543940,17593083,0,Excellent_Value
488138489,1218978490493065783,2,Poor_Value
48669,1115516,0,Excellent_Value
333766371,857263123279085671,1,Fair_Value
138023704,1406075555537314836,0,Excellent_Value
384706,299720,0,Excellent_Value
3977854,1138654221311862653,1,Fair_Value
319116247,1491511392500710758,1,Fair_Value
22938728,19506468,0,Excellent_Value
27175740,7199993,0,Excellent_Value
27123550,27467934,0,Excellent_Value
55708924,44266540,1,Fair_Value
93252691,1355416060043954326,2,Poor_Value
107434423,578077132956712728,2,Poor_Value
113421970,1298030105705633741,0,Excellent_Value
34064712,1394885352385613461,0,Excellent_Value
387953902,1277854077821807036,2,Poor_Value
29173277,736856603288325907,0,Excellent_Value
73973311,786266170995994763,1,Fair_Value
125218497,718725898266389255,0,Excellent_Value
169635867,758966680455645060,2,Poor_Value
83415881,36535018,2,Poor_Value
5002314,1014590547414159797,0,Excellent_Value
5168390,1078225036051427000,0,Excellent_Value
335868349,1264837494036167291,1,Fair_Value
499662709,918958066711855251,1,Fair_Value
353298487,44064471,2,Poor_Value
16725081,19982800,2,Poor_Value
450765852,874607704419774001,2,Poor_Value
501999278,1013785385097417006,0,Excellent_Value
34131276,1009488356465090007,1,Fair_Value
666205415,1345006836828512961,1,Fair_Value
56536206,10908507,1,Fair_Value
3290239,51454716,2,Poor_Value
23440400,1212487138584865597,1,Fair_Value
85770905,677669999818926745,1,Fair_Value
21994,597035257520585294,0,Excellent_Value
22863240,33555438,1,Fair_Value
2902835,1304085809146139539,0,Excellent_Value
442029804,699131628532199211,0,Excellent_Value
34064712,1362303447352867506,1,Fair_Value
29397409,1180074303331331829,0,Excellent_Value
342500540,829073281433746648,1,Fair_Value
87206119,1482060800704533538,0,Excellent_Value
144642497,1153329303045178400,2,Poor_Value
709325,147443,1,Fair_Value
501999278,1005744514049695987,1,Fair_Value
681534187,1400523490290182480,0,Excellent_Value
1371628,889296775205518729,1,Fair_Value
1590439,49129897,0,Excellent_Value
542041520,1007630248061177809,2,Poor_Value
2066811,1042961470966660801,2,Poor_Value
239020025,32024518,0,Excellent_Value
94343537,14976312,2,Poor_Value
438494763,925430159004303066,1,Fair_Value
707545442,1499531305464397594,2,Poor_Value
462059142,1193626676189673648,1,Fair_Value
51089276,50443867,1,Fair_Value
38956179,1456166048879369355,1,Fair_Value
301856318,1147920828784655332,1,Fair_Value
699580416,1467408844079613162,2,Poor_Value
46954597,1301033942691803848,1,Fair_Value
130954997,42305152,2,Poor_Value
4390163,686550552857390575,0,Excellent_Value
29286398,1370344319218362277,2,Poor_Value
542041520,1017331380576880176,1,Fair_Value
191612875,963756549828384436,1,Fair_Value
2772383,25378535,0,Excellent_Value
147702206,24431226,2,Poor_Value
29286398,40915676,2,Poor_Value
324593,1404771022486725568,0,Excellent_Value
5612153,18974834,1,Fair_Value
652657760,1254654033766139299,1,Fair_Value
469177751,1284334990518851724,0,Excellent_Value
123506488,23270977,0,Excellent_Value
121958709,26880769,0,Excellent_Value
577339699,1211023610089005872,2,Poor_Value
31937260,1111011270607590948,1,Fair_Value
109182483,917042784098994899,1,Fair_Value
416217609,675271684936708461,0,Excellent_Value
192970433,33881179,1,Fair_Value
19353722,1221214284717566809,0,Excellent_Value
303118342,47595966,2,Poor_Value
8184593,1471918250394488777,2,Poor_Value
56241642,685512710501880284,0,Excellent_Value
170206683,1450859622430944405,1,Fair_Value
126644161,50435452,1,Fair_Value
155130078,1061163019028721533,2,Poor_Value
432939989,1142886948816237697,0,Excellent_Value
325593778,1398084038782904023,0,Excellent_Value
4103249,53112260,2,Poor_Value
576739896,1161765838939596517,1,Fair_Value
575651185,1416119558121654650,1,Fair_Value
410163954,939380955706720230,0,Excellent_Value
62194919,11701569,1,Fair_Value
253575857,52125635,1,Fair_Value
299966327,53367729,2,Poor_Value
1753794,1827177,0,Excellent_Value
775963,824047084487341932,0,Excellent_Value
501999278,1013779611721794999,1,Fair_Value
5020218,1257352786878589496,0,Excellent_Value
486102835,1169130888196591920,1,Fair_Value
1257432,22626810,2,Poor_Value
267895362,38728968,1,Fair_Value
146679080,1416144867005501161,1,Fair_Value
63539716,17622881,0,Excellent_Value
3017970,890662704458931988,2,Poor_Value
126644161,1055987821415600523,1,Fair_Value
29523963,990022919413310209,0,Excellent_Value
111817270,1313123167034583093,0,Excellent_Value
27586739,587642673787616493,1,Fair_Value
469177751,1284304500173630596,0,Excellent_Value
406085034,605907899910643313,0,Excellent_Value
542041520,1051765819499957752,2,Poor_Value
9194713,34287875,0,Excellent_Value
237245961,42766560,1,Fair_Value
250015344,1151804287972378709,2,Poor_Value
9465522,757211790915878336,2,Poor_Value
177799591,1494603849304502454,1,Fair_Value
224418934,38574990,0,Excellent_Value
19406842,673911798565706692,1,Fair_Value
162531856,605165030037268815,2,Poor_Value
587292438,1194550680634305579,1,Fair_Value
45150017,28203306,1,Fair_Value
172270819,845902024566901178,0,Excellent_Value
406030036,1028538878630902674,0,Excellent_Value
410094341,811381428084963837,2,Poor_Value
21782134,739974576257846156,0,Excellent_Value
40489621,17568998,2,Poor_Value
675545345,1348596009084608060,1,Fair_Value
281939482,39996721,0,Excellent_Value
542041520,1099127850284557689,2,Poor_Value
11315693,8339910,1,Fair_Value
70722023,37530583,0,Excellent_Value
256666492,1254465370022884981,2,Poor_Value
542041520,1017909600103976309,2,Poor_Value
71985755,919447376421063460,0,Excellent_Value
495900269,837174431678149265,0,Excellent_Value
390706460,1024219028169155598,1,Fair_Value
10162120,9945149,0,Excellent_Value
189245739,850999067083606348,0,Excellent_Value
178425455,23781534,0,Excellent_Value
13471395,5666413,0,Excellent_Value
82919172,1368453263161131237,1,Fair_Value
236853515,32048914,0,Excellent_Value
29639228,5750685,1,Fair_Value
542041520,1003435864316643429,2,Poor_Value
126644161,996342891915795447,1,Fair_Value
55613057,1407311941240424232,1,Fair_Value
512212999,1097304504614853543,2,Poor_Value
302760328,48046764,1,Fair_Value
406568925,50343671,1,Fair_Value
469712552,1214586036286900083,1,Fair_Value
517692618,912348085119167096,2,Poor_Value
17386085,28518540,1,Fair_Value
79929976,1409838193339067618,0,Excellent_Value
103293724,19778552,0,Excellent_Value
533234561,1394260792296851165,2,Poor_Value
16742806,640007733812684635,2,Poor_Value
492059538,1408995622625827215,1,Fair_Value
658992,22357788,2,Poor_Value
60373371,29211690,2,Poor_Value
710458493,1483591401661662403,2,Poor_Value
97159379,40693560,1,Fair_Value
351395739,836205079175974186,2,Poor_Value
117655502,1404572312845953863,1,Fair_Value
575593540,1148537799052180292,2,Poor_Value
1703869,907267068661326966,1,Fair_Value
35914087,919118634804824328,2,Poor_Value
308209085,39976078,0,Excellent_Value
70761696,1400961849568503315,2,Poor_Value
584693452,1191452018415529799,2,Poor_Value
532120600,961112902132197980,2,Poor_Value
304721494,1282813795634245567,1,Fair_Value
71574960,13297590,1,Fair_Value
422101923,1385521954920591795,2,Poor_Value
5110966,755741620732498686,1,Fair_Value
2597104,8717641,1,Fair_Value
24802385,24513659,0,Excellent_Value
15904165,544791042363256651,0,Excellent_Value
314162422,953842422896285086,0,Excellent_Value
389697794,808623246408874041,2,Poor_Value
542041520,1016979286854512752,2,Poor_Value
252692,103417,2,Poor_Value
694629602,1417521408434020359,2,Poor_Value
514017852,910251473995158249,1,Fair_Value
54144845,53008085,2,Poor_Value
128410055,1482701389283862177,1,Fair_Value
34393167,7109810,0,Excellent_Value
126644773,1116773805926151337,0,Excellent_Value
3017970,49211244,1,Fair_Value
499662709,1055904756739735135,1,Fair_Value
475974,6653474,0,Excellent_Value
469406,1201095053430274142,1,Fair_Value
44832572,1397249453907545302,0,Excellent_Value
14380818,42814290,2,Poor_Value
1600680,990169541569669252,0,Excellent_Value
9832430,19859112,0,Excellent_Value
11495191,661975042079174569,2,Poor_Value
504891247,1303791448721807929,0,Excellent_Value
100238132,976125576667577566,1,Fair_Value
4106299,18567881,1,Fair_Value
3324885,2483060,1,Fair_Value
28790148,984085310705387591,2,Poor_Value
366616296,1294842321786260282,0,Excellent_Value
20700522,774707546443117444,2,Poor_Value
2686174,6628985,0,Excellent_Value
3017970,22484223,1,Fair_Value
576739896,1445740759076353642,0,Excellent_Value
4471708,1182269818840078492,0,Excellent_Value
158731220,1421093302824057999,0,Excellent_Value
6790378,36596905,1,Fair_Value
270127613,42812017,0,Excellent_Value
5805679,30803785,1,Fair_Value
278556648,37781383,0,Excellent_Value
4819815,1433917,1,Fair_Value
107434423,1065884651593853656,2,Poor_Value
380583192,49298330,1,Fair_Value
29772871,26720624,0,Excellent_Value
61695597,840715737123099534,1,Fair_Value
71574960,13297957,1,Fair_Value
51089417,10806778,2,Poor_Value
189653001,1474807533413507095,2,Poor_Value
5474712,1446066408248126055,0,Excellent_Value
57814298,1225604327029095928,1,Fair_Value
28790148,49595503,2,Poor_Value
662542808,1291938716021157985,0,Excellent_Value
22459966,837673219179927335,2,Poor_Value
433606911,672604472312241022,2,Poor_Value
50526077,9809505,0,Excellent_Value
676869295,1348847266489909678,0,Excellent_Value
10924383,4663060,2,Poor_Value
32547347,1106592526463554182,0,Excellent_Value
111817270,1313145755465803931,0,Excellent_Value
44504422,10040046,0,Excellent_Value
38690778,1046555244167439042,0,Excellent_Value
55852798,1284542392539697449,2,Poor_Value
2635847,34680924,2,Poor_Value
2205580,443994,0,Excellent_Value
20182671,1455170155575479021,2,Poor_Value
94993380,15038510,0,Excellent_Value
988375,23359001,2,Poor_Value
62476133,19629735,1,Fair_Value
94734587,32337883,0,Excellent_Value
8875994,50675081,0,Excellent_Value
1324417,24036794,2,Poor_Value
164482438,917007759901565746,2,Poor_Value
376614374,1492200741986847510,1,Fair_Value
540101084,994620357598482382,2,Poor_Value
205691,734262087015053983,1,Fair_Value
466354831,658537455203307101,2,Poor_Value
113421970,17879508,0,Excellent_Value
34411679,1498623894331856983,0,Excellent_Value
267895362,49864106,2,Poor_Value
1671976,47052884,0,Excellent_Value
346201510,49685046,2,Poor_Value
43106060,1383698437779187797,0,Excellent_Value
282314418,740577688044981524,2,Poor_Value
85556906,21040786,1,Fair_Value
520966990,1153956959654977040,2,Poor_Value
350024670,43791716,0,Excellent_Value
60646942,19704114,2,Poor_Value
265841303,35312287,0,Excellent_Value
326010257,689867066468650575,1,Fair_Value
72175743,932097250470891874,0,Excellent_Value
502034331,1376158531604290050,0,Excellent_Value
301775154,1374907052035470493,1,Fair_Value
691674336,1405883387579656783,2,Poor_Value
1257432,899254596921421165,2,Poor_Value
1397825,587904759496959835,0,Excellent_Value
576739896,1498506797412925598,1,Fair_Value
14136290,1278465345541671915,2,Poor_Value
341259760,596479831050515918,2,Poor_Value
14326301,38995874,0,Excellent_Value
492170624,787017429018374626,1,Fair_Value
149277668,1242791639706473023,2,Poor_Value
39281841,13442374,0,Excellent_Value
64420717,1352435467849804910,0,Excellent_Value
27648250,5335425,0,Excellent_Value
547148370,1431150925487297271,0,Excellent_Value
17536951,20331804,0,Excellent_Value
548434802,1105918193773109666,1,Fair_Value
1200386,1225588449144132565,1,Fair_Value
572855347,1235078482891882356,1,Fair_Value
22863240,17270495,1,Fair_Value
125742292,1350807253595703368,0,Excellent_Value
2464990,6782485,1,Fair_Value
43730539,1096471602229531933,1,Fair_Value
53343378,27635927,2,Poor_Value
98054133,20898305,2,Poor_Value
182814009,800750467887179687,1,Fair_Value
1147583,784286772110354027,1,Fair_Value
10251474,43130107,1,Fair_Value
31998552,1467480600213035995,2,Poor_Value
21994,19026673,0,Excellent_Value
509967906,1402598354888721433,0,Excellent_Value
397998477,1450224762486224936,1,Fair_Value
592161822,1241482769458528690,0,Excellent_Value
43611629,8270952,1,Fair_Value
31250385,45053051,0,Excellent_Value
111434062,49087493,1,Fair_Value
146202663,44125053,0,Excellent_Value
270087516,579882414400133725,0,Excellent_Value
186362126,51331147,1,Fair_Value
43276194,852329812038558765,2,Poor_Value
122246051,32849056,1,Fair_Value
67253416,568940246308249096,2,Poor_Value
408623755,50732515,0,Excellent_Value
37353287,53957476,0,Excellent_Value
540838191,1332276643889741754,2,Poor_Value
410094341,51103827,2,Poor_Value
7597786,41292213,0,Excellent_Value
39728610,1345200566007153422,0,Excellent_Value
238933450,595240334600395196,2,Poor_Value
10662081,981765561215613769,0,Excellent_Value
37353287,722552838374239436,0,Excellent_Value
294451422,1158063164891809038,2,Poor_Value
169517025,1392298316666730793,0,Excellent_Value
560790028,1465318531163807679,1,Fair_Value
34007109,852551915070719752,2,Poor_Value
663310218,1339462903086087290,2,Poor_Value
20672353,5632275,2,Poor_Value
514784474,906825383468570032,2,Poor_Value
489671376,771635430025540536,2,Poor_Value
27154461,36007807,1,Fair_Value
542041520,1018808458995217165,2,Poor_Value
666201291,1375120602792467882,1,Fair_Value
442029804,1294336142130437030,1,Fair_Value
190646714,29334701,1,Fair_Value
375566645,571899739217982041,0,Excellent_Value
500310358,1133553237995521150,2,Poor_Value
68267449,38847679,1,Fair_Value
11638127,13973341,2,Poor_Value
143373366,1487256758924673312,0,Excellent_Value
131200418,22592721,1,Fair_Value
