number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7744999364369825,2025-12-27 17:07:33.248850,2025-12-27 17:07:39.069549,0 days 00:00:05.820699,0.5780093202212182,0.2904180608409973,0.1205712628744377,12,2,250,0.6245760287469893,0.002570603566117598,0.7993292420985183,COMPLETE
1,0.7614416289476822,2025-12-27 17:07:39.070002,2025-12-27 17:07:41.508597,0 days 00:00:02.438595,0.6061695553391381,0.9170225492671691,0.2708160864249968,3,2,383,5.472429642032198e-06,0.00052821153945323,0.9162213204002109,COMPLETE
2,0.764831735388636,2025-12-27 17:07:41.509095,2025-12-27 17:07:43.248808,0 days 00:00:01.739713,0.6460723242676091,2.28034992108518,0.08012737503998542,5,4,273,0.1165691561324743,6.267062696005991e-07,0.569746930326021,COMPLETE
3,0.7400976012598288,2025-12-27 17:07:43.250037,2025-12-27 17:07:46.932309,0 days 00:00:03.682272,0.5852620618436457,4.7444276862666666,0.011711509955524094,8,1,306,4.905556676028774,0.18861495878553936,0.8037724259507192,COMPLETE
4,0.7557915369537647,2025-12-27 17:07:46.932729,2025-12-27 17:07:48.079467,0 days 00:00:01.146738,0.5610191174223894,0.17194260557609198,0.1024932221692416,3,5,222,1.527156759251193,2.133142332373004e-06,0.7200762468698007,COMPLETE
5,0.75208761644597,2025-12-27 17:07:48.079636,2025-12-27 17:07:49.614399,0 days 00:00:01.534763,0.5924272277627636,3.8756641168055728,0.05864129169696527,6,10,365,2.854239907497756,1.1309571585271483,0.7733551396716398,COMPLETE
6,0.7671545547090342,2025-12-27 17:07:49.614871,2025-12-27 17:07:54.918403,0 days 00:00:05.303532,0.522613644455269,1.9433864484474102,0.01351182947645082,12,4,339,2.7678419414850017e-06,0.28749982347407854,0.5979914312095727,COMPLETE
7,0.7523389712251698,2025-12-27 17:07:54.918891,2025-12-27 17:07:56.163093,0 days 00:00:01.244202,0.9010984903770198,4.9344346830025865,0.06333268775321842,5,1,243,0.08916674715636537,6.143857495033091e-07,0.5704621124873813,COMPLETE
8,0.7672803010817539,2025-12-27 17:07:56.163259,2025-12-27 17:07:57.846324,0 days 00:00:01.683065,0.8856351733429728,1.7923286427213632,0.11069143219393454,11,1,102,1.1036250149900698e-07,0.5860448217200517,0.8645035840204937,COMPLETE
9,0.7491998845025478,2025-12-27 17:07:57.846789,2025-12-27 17:08:00.857204,0 days 00:00:03.010415,0.6625916610133735,3.1877873567760657,0.012413189635294229,6,8,349,0.9658611176861268,0.0001778010520878397,0.6554911608578311,COMPLETE
10,0.7765089022716142,2025-12-27 17:08:00.858031,2025-12-27 17:08:10.555390,0 days 00:00:09.697359,0.7606700059313507,0.0757211855137844,0.028477486830279893,10,7,478,0.004077450220493037,0.00136436567228164,0.9661451709558937,COMPLETE
11,0.7734326493164266,2025-12-27 17:08:10.555878,2025-12-27 17:08:21.090670,0 days 00:00:10.534792,0.7804533509078435,0.055111967492394796,0.0262209763647716,10,7,499,0.0014441715954420077,0.0021142323970375567,0.9806693857217327,COMPLETE
12,0.7714864975397664,2025-12-27 17:08:21.091021,2025-12-27 17:08:25.888585,0 days 00:00:04.797564,0.7343996561622936,1.041401330544119,0.03163393826748555,9,7,476,0.0018600945044446586,0.008036141722925796,0.9984958740452157,COMPLETE
13,0.7696028444696725,2025-12-27 17:08:25.889609,2025-12-27 17:08:27.438755,0 days 00:00:01.549146,0.7925329659800098,0.945304930733326,0.23586553545554284,12,9,171,0.015633838004575313,5.797848390044669e-05,0.865455651151708,COMPLETE
14,0.7726160862722606,2025-12-27 17:08:27.439238,2025-12-27 17:08:30.804285,0 days 00:00:03.365047,0.9969831480026861,0.49302866058105177,0.15754911501411575,10,3,417,4.6335021995037196e-05,0.022097530571713292,0.708015733458699,COMPLETE
15,0.771800508701235,2025-12-27 17:08:30.804501,2025-12-27 17:08:35.210564,0 days 00:00:04.406063,0.7136408954519958,1.5143561459664854,0.032936092482778775,10,6,442,0.010836930382935862,2.7255428173384798e-05,0.5054945946218856,COMPLETE
16,0.7649576197275956,2025-12-27 17:08:35.210707,2025-12-27 17:08:38.524096,0 days 00:00:03.313389,0.8507948147142028,2.885630226010409,0.021739299178637084,12,6,173,0.0003981437928270567,1.314053143275926e-08,0.9180364073884512,COMPLETE
17,0.7754415560226698,2025-12-27 17:08:38.524505,2025-12-27 17:08:42.648126,0 days 00:00:04.123621,0.6831734525233438,0.7258965692300269,0.04323444823345438,8,3,299,0.14495600065315078,8.31548033277666,0.8301055529796726,COMPLETE
18,0.7731816295980944,2025-12-27 17:08:42.648395,2025-12-27 17:08:46.167545,0 days 00:00:03.519150,0.7117037981420123,1.2209046478780579,0.04375001676592534,8,4,418,5.234911438247226e-05,6.332949642975954,0.922949380260001,COMPLETE
19,0.763827439711217,2025-12-27 17:08:46.167715,2025-12-27 17:08:50.206562,0 days 00:00:04.038847,0.8205518434407956,0.5142991946532613,0.01983528680174693,7,5,316,0.0199636604261394,7.283732436523352,0.8488285018701242,COMPLETE
20,0.7669036138285533,2025-12-27 17:08:50.207529,2025-12-27 17:08:52.843999,0 days 00:00:02.636470,0.6652430217507667,2.5257730544510224,0.03715423121831873,9,8,387,1.2722974438529106e-08,0.028214456422822446,0.9372371776856493,COMPLETE
21,0.7755043897901042,2025-12-27 17:08:52.844108,2025-12-27 17:08:59.711968,0 days 00:00:06.867860,0.5064140780520268,0.037610159086150174,0.04950620748041191,11,3,259,0.18627688587288452,0.0011627263181236615,0.8136181604732821,COMPLETE
22,0.777262000845536,2025-12-27 17:08:59.712421,2025-12-27 17:09:05.454590,0 days 00:00:05.742169,0.5277193751821015,0.5454867327758365,0.04642253097902413,9,3,283,0.17242176603192616,7.929091668734159e-06,0.8234273810179669,COMPLETE
23,0.7730559029348376,2025-12-27 17:09:05.455117,2025-12-27 17:09:11.457632,0 days 00:00:06.002515,0.5021994745461077,0.021590483164739438,0.051850387521055745,11,3,196,0.005123016746039152,1.0308265034181015e-05,0.7442009334713937,COMPLETE
24,0.7684103431318927,2025-12-27 17:09:11.458047,2025-12-27 17:09:16.110018,0 days 00:00:04.651971,0.534033278037603,1.4163327020707543,0.01789674017088487,9,2,270,0.06776674903228333,0.0005539202839193393,0.6857784012134432,COMPLETE
25,0.7731813142466895,2025-12-27 17:09:16.110416,2025-12-27 17:09:18.705308,0 days 00:00:02.594892,0.617269232535691,0.5855216372378377,0.07481608173063767,11,7,125,0.22410940396396126,3.530494281715614e-08,0.8745147170134979,COMPLETE
26,0.7733071000383349,2025-12-27 17:09:18.705513,2025-12-27 17:09:23.723208,0 days 00:00:05.017695,0.5435943682914258,0.012024863644032872,0.027081889305792462,10,5,225,0.00034530450923174824,3.7577936280972597e-06,0.7740454959579802,COMPLETE
27,0.7666526532386098,2025-12-27 17:09:23.723451,2025-12-27 17:09:26.749764,0 days 00:00:03.026313,0.5003842445241494,0.4750912598158174,0.04602716010304527,9,4,288,8.198877755605002,0.00010550112316012676,0.8895164161417118,COMPLETE
28,0.7712354186930457,2025-12-27 17:09:26.749909,2025-12-27 17:09:33.127400,0 days 00:00:06.377491,0.7614366321649496,1.6946110823602185,0.016993883482792665,11,6,341,0.002417973897368778,0.0013425124345083732,0.9636095844647325,COMPLETE
29,0.7725537255319338,2025-12-27 17:09:33.128002,2025-12-27 17:09:35.256138,0 days 00:00:02.128136,0.6272353029327429,0.406449904184097,0.15921728208236582,7,3,266,0.48339848293388055,0.007859416572309937,0.8134403137086238,COMPLETE
30,0.7650828536542822,2025-12-27 17:09:35.256723,2025-12-27 17:09:36.770161,0 days 00:00:01.513438,0.955846010221504,3.6438667822292103,0.08582630967797455,10,2,239,0.04343665169111009,1.3211922103641454e-05,0.7743800351769043,COMPLETE
31,0.7747511926688682,2025-12-27 17:09:36.770295,2025-12-27 17:09:40.824235,0 days 00:00:04.053940,0.6968075647493581,0.8908822945417629,0.039804928811105145,8,3,311,0.46701873302377594,0.062291233459259916,0.8142634472008576,COMPLETE
