feature,combined_score,mutual_information,f_score,correlation
price_normalized,0.9999999999999479,1.0,0.9999999999998457,0.999999999999998
price,0.9994038241824493,0.998211472547348,1.0,1.0
price_per_bathroom,0.5966008900999685,0.7320250207009684,0.3015209501309965,0.7562566994679406
price_per_bedroom,0.43742591132508185,0.6366085021934076,0.12609475648896087,0.5495744752928772
price_per_person,0.33090542502725667,0.5133181525365524,0.07002532869349279,0.40937279385172487
beds,0.32852101409949946,0.2378826605167769,0.15625294135370127,0.5914274404280203
accommodates,0.31729850772384277,0.1690037392277185,0.16828218693699104,0.6146095970068188
bedrooms,0.31406808656253665,0.16310790543729503,0.16665785546567738,0.6124384987846375
estimated_revenue_l365d,0.2856078163046531,0.43385768641670686,0.05362102700929553,0.3693447354879569
value_density,0.21588012729951278,0.2280840742693717,0.05526676419439122,0.3642895434347755
bathrooms_numeric,0.1954123084647764,0.10726680252780593,0.06818817482170088,0.41078194804482226
neighbourhood_target_encoded,0.18289553757783436,0.0691897436518886,0.0660821972815427,0.41341467180007174
property_type_frequency,0.1542339984913817,0.1420070267406537,0.03079898778356985,0.28989598094992153
review_to_capacity_ratio,0.14244130752378528,0.10006218791490885,0.03306428007375384,0.2941974545826932
property_type_label,0.1411889468463693,0.14748709181345387,0.02364782192004636,0.25243192680560766
neighbourhood_frequency,0.12082693715434385,0.0638565143428608,0.026497804664392725,0.2721264924557781
host_portfolio_intensity,0.11580109605478543,0.19350194175512772,0.007643146663645472,0.1462581997455831
calculated_host_listings_count,0.09960838276373672,0.06970627625114716,0.01594701385360084,0.21317185818646214
host_id,0.0960883590695325,0.21237141206965976,0.001866714043592993,0.07402695109534474
space_efficiency,0.09562584144197057,0.14717471075512298,0.014521087533587647,0.12518172603720112
host_listings_count,0.09481345654121846,0.0865616617573804,0.012122881507748528,0.18575582635852642
calculated_host_listings_count_entire_homes,0.09214307591816318,0.07042152526212801,0.01429475937195922,0.1917129431204023
host_total_listings_count,0.0883718062964662,0.09297427546143285,0.010529690459812939,0.1616114529681528
host_years,0.08560974265024739,0.1783164912871708,0.0020251156709329816,0.07648762099263837
estimated_occupancy_l365d,0.07954074043444836,0.035035257003113184,0.01956800667190011,0.1840189576283318
space_per_person,0.07246092512256096,0.10511940212359414,0.0040143422082464675,0.10824903103584227
number_of_reviews,0.06789268280720716,0.020351356231729203,0.011606544760371944,0.17172014742952033
minimum_nights_avg_ntm,0.0626808947849963,0.06895728733408309,0.004753052817911643,0.11433234420299418
calculated_host_listings_count_private_rooms,0.06177256322002289,0.0813551590579017,0.0034698683539706545,0.10049266224819631
occupancy_rate,0.060673239801507295,0.10557898202257734,0.04023611956385563,0.03620461781808894
availability_rate,0.05979543237751056,0.10294555975058363,0.04023611956385913,0.03620461781808894
availability_365,0.05888421529004604,0.10021190848819181,0.0402361195638574,0.03620461781808891
booking_flexibility_score,0.053657349341270144,0.030097491972117797,0.005472085839198274,0.12540247021249437
review_scores_value,0.052706888151338595,0.02277332436953719,0.00841152976055979,0.12693581032391882
minimum_nights,0.04985832642999757,0.028609075034399443,0.004929265516930718,0.11603663873866255
minimum_minimum_nights,0.048173404381496844,0.025546849629006448,0.00490134619361014,0.11407201732187396
reviews_per_month,0.04702128583868131,0.017506962723461937,0.006736630346323323,0.11682026444625865
number_of_reviews_ltm,0.04649234220985629,0.028303731574887237,0.006676718970164534,0.1044965760845171
days_since_first_review,0.04633459415063553,0.023235139271232216,0.0045450768592515045,0.11122356632142286
number_of_reviews_ly,0.045982160091566755,0.01419801065275178,0.006747867918680027,0.11700060170326847
review_scores_rating,0.04563437426406582,0.030625227438571323,0.007638776353120948,0.09863911900050518
review_scores_communication,0.04343412779686298,0.009745594888077103,0.00726005651208597,0.11329673199042588
review_scores_accuracy,0.043141894438784044,0.022573892643452446,0.006833057255548855,0.10001873341735082
avg_review_score,0.04178734536893745,0.02373539367834021,0.006721650728895644,0.0949049916995765
rating_normalized,0.04171527105079425,0.018867917798876793,0.007638776353000871,0.09863911900050508
longitude,0.04089052613768824,0.11777882468137507,0.003249186886231036,0.0016435668454586176
instant_bookable,0.039723839302453726,0.0,0.004522966512745886,0.11464855139461529
latitude,0.03750260206251533,0.10911341194795451,0.0032087666948359544,0.00018562754475550902
number_of_reviews_l30d,0.0361715189662473,0.0116932159078868,0.005784208990454647,0.09103713200040045
review_scores_checkin,0.034178778223010714,0.014940983164135772,0.004735712994108001,0.08285963851078837
availability_eoy,0.033352263475025345,0.05984223922217093,0.02954252393679621,0.010672027266108887
availability_30,0.028287730382490963,0.03170081620673143,0.012938469364989868,0.04022390557575159
neighbourhood_label,0.028094877682001307,0.07128423905007263,0.00016072976835825105,0.01283966422757304
availability_90,0.02804039019569876,0.05384118114262538,0.027960994142241777,0.002318995302229117
review_scores_cleanliness,0.026696965555033373,0.018264228497538455,0.004094318128466139,0.05773235003909553
availability_60,0.026497879167575147,0.037326865796178846,0.02188881951194749,0.020277952194599103
has_reviews,0.022773446656994944,0.011446394551630146,0.006590160435902048,0.05028378498345264
review_momentum,0.021201653014330635,0.015888139611323956,0.006204144044980135,0.04151267538668781
calculated_host_listings_count_shared_rooms,0.020179499097631438,0.0067056247968110905,0.0009493752814673883,0.05288349721461584
days_since_last_review,0.02017216848099135,0.03636972741372358,0.005822742598917674,0.0183240354303328
maximum_nights_avg_ntm,0.017478065918564125,0.029809620877502798,0.0002370814155183265,0.022387495462671242
minimum_maximum_nights,0.016543651599400758,0.0270064765434446,0.00023707769325606714,0.022387400561501604
host_identity_verified,0.01594327752783442,0.0,0.0008061511075443142,0.04702368147595895
maximum_maximum_nights,0.01573900903920629,0.024592338724174996,0.00023708553108486402,0.022387602862359003
maximum_minimum_nights,0.014118487958729962,0.04223688020799952,0.00011858366819036885,0.0
review_scores_location,0.013536243576751655,0.022466995466130027,0.0023123469596292258,0.01582938830449571
host_response_rate,0.013080622369182183,0.013613297713975191,0.00025177382842857986,0.025376795565142777
host_has_profile_pic,0.012058211216655691,0.0,0.0005483340556695831,0.035626299594297486
host_acceptance_rate,0.011448134571173578,0.0288144381835186,1.9620950237705848e-05,0.005510344579764424
maximum_nights,0.011050956175215329,0.02736110406848251,0.0,0.005791764457163475
host_is_superhost,0.005836132309346625,0.006199751171683565,0.0007009355930796042,0.010607710163276704
