feature_name,data_type,missing_count,missing_pct
accommodates,int64,0,0.0
bedrooms,float64,0,0.0
beds,float64,0,0.0
bathrooms_numeric,float64,0,0.0
price,float64,0,0.0
price_per_person,float64,0,0.0
latitude,float64,0,0.0
longitude,float64,0,0.0
minimum_nights,int64,0,0.0
maximum_nights,int64,0,0.0
minimum_minimum_nights,float64,0,0.0
maximum_minimum_nights,float64,0,0.0
minimum_maximum_nights,float64,0,0.0
maximum_maximum_nights,float64,0,0.0
minimum_nights_avg_ntm,float64,0,0.0
maximum_nights_avg_ntm,float64,0,0.0
has_availability,float64,0,0.0
availability_30,int64,0,0.0
availability_60,int64,0,0.0
availability_90,int64,0,0.0
availability_365,int64,0,0.0
availability_rate,float64,0,0.0
host_response_rate,float64,0,0.0
host_acceptance_rate,float64,0,0.0
host_is_superhost,float64,0,0.0
host_listings_count,float64,0,0.0
host_total_listings_count,float64,0,0.0
host_has_profile_pic,float64,0,0.0
host_identity_verified,float64,0,0.0
host_years,float64,0,0.0
instant_bookable,int64,0,0.0
room_type_Hotel room,bool,0,0.0
room_type_Private room,bool,0,0.0
room_type_Shared room,bool,0,0.0
property_type_label,int64,0,0.0
property_type_frequency,float64,0,0.0
neighbourhood_target_encoded,float64,0,0.0
neighbourhood_frequency,float64,0,0.0
neighbourhood_label,int64,0,0.0
host_response_time_within a day,bool,0,0.0
host_response_time_within a few hours,bool,0,0.0
host_response_time_within an hour,bool,0,0.0
calculated_host_listings_count,int64,0,0.0
calculated_host_listings_count_entire_homes,int64,0,0.0
calculated_host_listings_count_private_rooms,int64,0,0.0
calculated_host_listings_count_shared_rooms,int64,0,0.0
