neighbourhood,label,neighbourhood_target_encoded,neighbourhood_frequency,count
Mission Bay,70,1.0950413223140496,0.08507432703897147,1694
Downtown/Civic Center,29,0.6511627906976745,0.060466050622740054,1204
Pacific Beach,92,1.1453077699293643,0.04976898352752109,991
La Jolla,55,0.9191176470588235,0.04098031337886701,816
South of Market,118,0.6023688663282571,0.02968059461631177,591
Ocean Beach,85,1.3741496598639455,0.0295299316994777,588
North Hills,82,1.132486388384755,0.02767175572519084,551
Midtown,66,1.1870370370370371,0.027119325030132584,540
Mission,69,0.7201492537313433,0.02691844114102049,536
East Village,31,0.8349146110056926,0.02646645239051828,527
Western Addition,135,0.8219461697722568,0.024256729610285254,483
Nob Hill,76,0.925,0.01807955002008839,360
Loma Portal,62,1.1284916201117319,0.01797910807553234,358
Outer Sunset,91,1.032934131736527,0.016773804740859783,334
Gaslamp Quarter,42,1.0454545454545454,0.015468059461631177,308
Marina,64,0.7263843648208469,0.015417838489353153,307
Park West,96,1.1643356643356644,0.014363198071514665,286
Castro/Upper Market,14,0.7672727272727272,0.013810767376456408,275
Financial District,41,0.8409090909090909,0.013258336681398152,264
Bernal Heights,9,0.8307692307692308,0.013057452792286059,260
Haight Ashbury,48,0.8663967611336032,0.012404580152671756,247
Balboa Park,3,1.1416666666666666,0.012053033346725592,240
Noe Valley,77,0.5818965517241379,0.011651265568501407,232
North Beach,79,0.6103896103896104,0.011601044596223383,231
Little Italy,61,0.9506726457399103,0.011199276817999197,223
Old Town,87,1.1658986175115207,0.010897950984331056,217
Bay Park,6,1.2028301886792452,0.01064684612294094,212
Mira Mesa,68,1.4029126213592233,0.0103455202892728,206
University City,129,0.8861386138613861,0.010144636400160707,202
Grant Hill,46,1.4922279792746114,0.009692647649658498,193
Inner Richmond,50,1.0526315789473684,0.009541984732824428,190
Outer Richmond,90,1.0483870967741935,0.009341100843712334,186
Clairemont Mesa,19,1.1675977653631284,0.00898955403776617,179
Russian Hill,108,0.6724137931034483,0.008738449176376055,174
Cortez Hill,23,1.0116279069767442,0.008638007231820007,172
Normal Heights,78,1.2339181286549707,0.008587786259541985,171
City Heights West,18,1.3235294117647058,0.008537565287263961,170
Chinatown,15,0.8484848484848485,0.008286460425873846,165
Excelsior,40,1.34375,0.008035355564483728,160
West University Heights,133,1.294871794871795,0.007834471675371634,156
Pacific Heights,93,0.6066666666666667,0.007533145841703496,150
Bayview,8,1.1208053691275168,0.007482924869425472,149
Core,22,0.75,0.007432703897147449,148
Inner Sunset,51,0.8561643835616438,0.007332261952591402,146
Linda Vista,60,1.25,0.0070309361189232625,140
North Clairemont,81,1.1884057971014492,0.006930494174367216,138
Potrero Hill,99,0.8321167883211679,0.006880273202089193,137
Outer Mission,89,1.0148148148148148,0.006779831257533146,135
Parkside,97,0.9770992366412213,0.006578947368421052,131
Northwest,83,1.4031007751937985,0.006478505423865006,129
Rancho Penasquitos,104,1.0161290322580645,0.00622740056247489,124
Serra Mesa,114,1.1639344262295082,0.006126958617918843,122
Roseville,107,0.957983193277311,0.005976295701084773,119
Bay Ho,5,1.0357142857142858,0.00562474889513861,112
Ocean View,86,1.0,0.00562474889513861,112
Carmel Valley,13,0.794392523364486,0.005373644033748493,107
South Park,117,1.330188679245283,0.00532342306147047,106
Moreno Mission,72,1.0618556701030928,0.004871434310968261,97
College Area,20,0.851063829787234,0.00472077139413419,94
West of Twin Peaks,134,1.0879120879120878,0.00457010847730012,91
Memorial,65,1.3953488372093024,0.004319003615910004,86
City Heights East,17,1.4625,0.004017677782241864,80
Columbia,21,0.6666666666666666,0.003766572920851748,75
Rancho Bernadino,102,0.9545454545454546,0.003314584170349538,66
Grantville,47,1.1515151515151516,0.003314584170349538,66
Mission Valley,71,0.8125,0.0032141422257934912,64
Wooded Area,136,1.0806451612903225,0.003113700281237445,62
Visitacion Valley,131,1.278688524590164,0.0030634793089594214,61
San Carlos,110,1.1666666666666667,0.003013258336681398,60
Del Mar Heights,27,0.9482758620689655,0.0029128163921253516,58
Twin Peaks,128,0.8035714285714286,0.002812374447569305,56
La Jolla Village,56,0.8214285714285714,0.002812374447569305,56
Rolando,105,1.0727272727272728,0.0027621534752912814,55
Lakeshore,58,0.8490566037735849,0.002661711530735235,53
Encanto,38,1.4615384615384615,0.0026114905584572116,52
Otay Ranch,88,0.7843137254901961,0.0025612695861791882,51
Kensington,54,1.18,0.0025110486139011652,50
Crocker Amazon,24,1.3877551020408163,0.002460827641623142,49
Darnall,25,1.3333333333333333,0.0024106066693451184,48
Lake Murray,57,1.0638297872340425,0.002360385697067095,47
Glen Park,44,0.723404255319149,0.002360385697067095,47
Southwest,120,1.3043478260869565,0.002310164724789072,46
Bird Land,10,1.391304347826087,0.002310164724789072,46
Paradise Hills,95,1.4666666666666666,0.0022599437525110486,45
Talmadge,122,1.2142857142857142,0.002109280835676979,42
Midtown District,67,1.0,0.002109280835676979,42
Kearny Mesa,53,1.394736842105263,0.0019083969465648854,38
Mountain View,74,1.6216216216216217,0.0018581759742868622,37
Scripps Ranch,112,0.8918918918918919,0.0018581759742868622,37
Mount Hope,73,1.0857142857142856,0.0017577340297308156,35
Valencia Park,130,1.6129032258064515,0.0015568501406187224,31
Presidio Heights,101,0.6428571428571429,0.0014061872237846524,28
Webster,132,1.037037037037037,0.0013559662515066292,27
Oak Park,84,1.6296296296296295,0.0013559662515066292,27
Del Cerro,26,0.9583333333333334,0.0012053033346725592,24
El Cerritos,36,0.875,0.0012053033346725592,24
Bario Logan,4,1.3478260869565217,0.001155082362394536,23
North City,80,0.8695652173913043,0.001155082362394536,23
Emerald Hills,37,1.380952380952381,0.0010546404178384894,21
Egger Highlands,35,1.2380952380952381,0.0010546404178384894,21
Bay Terrace,7,1.05,0.001004419445560466,20
Torrey Pines,126,1.15,0.001004419445560466,20
Sorrento Valley,116,0.85,0.001004419445560466,20
Sabre Springs,109,0.631578947368421,0.0009541984732824427,19
Allied Gardens,0,1.631578947368421,0.0009541984732824427,19
Presidio,100,0.16666666666666666,0.0009039775010044194,18
Gateway,43,1.0,0.0009039775010044194,18
Southcrest,119,1.3333333333333333,0.0009039775010044194,18
Alta Vista,1,1.7647058823529411,0.0008537565287263961,17
Tierrasanta,124,0.7647058823529411,0.0008537565287263961,17
Jomacha-Lomita,52,1.0714285714285714,0.0007030936118923262,14
San Ysidro,111,1.2142857142857142,0.0007030936118923262,14
Sunbow,121,1.2307692307692308,0.0006528726396143029,13
Paseo Ranchoero,98,1.4615384615384615,0.0006528726396143029,13
Chollas View,16,1.3333333333333333,0.0006026516673362796,12
Diamond Heights,28,0.45454545454545453,0.0005524306950582563,11
Lynwood Hills,63,1.1818181818181819,0.0005524306950582563,11
Rancho Del Rey,103,0.6,0.000502209722780233,10
Eastlake Vistas,33,0.7777777777777778,0.0004519887505022097,9
Sky Line,115,1.5,0.0004017677782241864,8
Nestor,75,1.5,0.0004017677782241864,8
Rolling Hills Ranch,106,1.2857142857142858,0.0003515468059461631,7
Seacliff,113,0.7142857142857143,0.0003515468059461631,7
