rank,feature,combined_score,correlation
1,fp_score,1.0,0.8735825000232263
2,price_normalized,0.7727153640541076,0.7876636777604427
3,price,0.7726698171729147,0.7876636777604412
4,price_per_bathroom,0.49418398912118766,0.5957709841160992
5,price_per_bedroom,0.3738979764229004,0.4330555017262947
6,price_per_person,0.2839450885800416,0.3226784031702244
7,beds,0.27329530040366895,0.4660052410596608
8,accommodates,0.2662975958227854,0.4842559435843248
9,bedrooms,0.2608204976035517,0.48254669502195857
10,estimated_revenue_l365d,0.246487699234985,0.29116536496975026
11,value_density,0.185652916405693,0.28718554514349526
12,bathrooms_numeric,0.16747681451109164,0.32378779322641643
13,neighbourhood_target_encoded,0.15545290457696578,0.32586046743700475
14,property_type_frequency,0.1370658526730343,0.22861744885590124
15,review_to_capacity_ratio,0.12436377159858908,0.2320038859814799
16,property_type_label,0.12401931241316633,0.1991229837817962
17,neighbourhood_frequency,0.10208693709481594,0.21462799764070872
18,host_portfolio_intensity,0.09946001805229394,0.11553519927517036
19,host_id,0.08427308729297463,0.05866943583251321
20,space_efficiency,0.08181971927237296,0.09894224552588929
21,host_years,0.07655268482921729,0.060606656563218446
22,estimated_occupancy_l365d,0.06935009635361992,0.14526325140360005
23,space_per_person,0.06321892145414022,0.0856115798322019
24,occupancy_rate,0.04760098211199207,0.02889290701451556
25,availability_rate,0.047378318552226885,0.028892907014515544
26,availability_365,0.04700348224262876,0.028892907014515513
27,review_scores_value,0.0453208029659862,0.10032318997819956
28,booking_flexibility_score,0.043885167367864186,0.09911603161277198
