feature,VIF
price,190744.00759019176
price_normalized,175493.59548475544
minimum_nights_avg_ntm,33.652789923613945
minimum_minimum_nights,33.182217703861404
calculated_host_listings_count,31.303049422800125
minimum_nights,23.502540206092306
calculated_host_listings_count_private_rooms,17.05078365564119
calculated_host_listings_count_entire_homes,15.327878487015166
host_total_listings_count,13.019566942069144
number_of_reviews,11.814845485901435
host_listings_count,11.773872712093386
bedrooms,10.869013866751073
accommodates,8.868001506863267
value_density,8.19123468146291
review_to_capacity_ratio,7.458394298272101
beds,7.418510015075038
review_scores_rating,6.9387052057670875
number_of_reviews_ltm,6.75256593120475
price_per_bathroom,6.538641274289997
fp_score,6.517271050172949
host_portfolio_intensity,6.173087050938868
price_per_bedroom,5.68411944800513
reviews_per_month,5.122699295131227
review_scores_accuracy,4.34373472344488
number_of_reviews_ly,4.321962813501018
review_scores_value,4.275187064953473
estimated_occupancy_l365d,4.089502655570367
price_per_person,3.595760118707216
estimated_revenue_l365d,3.5823522347476295
bathrooms_numeric,3.5485067215924557
space_efficiency,3.3986189122581587
space_per_person,2.9707860178410623
review_scores_communication,2.7565653174722797
property_type_label,2.155916846910854
neighbourhood_target_encoded,1.995111914697268
days_since_first_review,1.9938291604016924
neighbourhood_frequency,1.9119544655289122
booking_flexibility_score,1.828038041987746
property_type_frequency,1.511331449073485
instant_bookable,1.249278800362703
